,Name of Recipe,Recipe Type,difficulty level,cooking time
683,Aloo Rasedar,Potato Recipes,Moderate,30 mins
684,Peanut Laddu (Shengdana Ladoo),Ladoo Recipes,Moderate,15 mins
685,Kala Vatana Usal | Kala Vatana Sambar,Dal (Lentils) & Legumes,Moderate,9 hrs
686,Whole Wheat Pizza Dough,Bread Recipes,Easy,1 hr
687,Paneer Fry,Paneer Recipes,Moderate,25 mins
688,Corn Fried Rice,Rice Recipes,Moderate,45 mins
689,Rice Puri | Rice Vada,Indian Breads,Moderate,1 hr
690,Brinji Rice | Brinji Sadam,Rice Recipes,Moderate,30 mins
691,Potato Kurma | Aloo Kurma,Potato Recipes,Moderate,55 mins
692,Sunnundalu Recipe | Urad Dal Laddu,Ladoo Recipes,Moderate,17 mins
693,Aloo Tikki Recipe (Indian Potato Patties),Street Food Recipes,Moderate,40 mins
694,Chana Dal (Split Chickpeas),Dal (Lentils) & Legumes,Moderate,1 hr 30 mins
695,Dal Chutney | Chana Dal Chutney,Chutney Recipes,Moderate,7 mins
696,Dahi Aloo Recipe | Dahi Wale Aloo,Potato Recipes,Moderate,45 mins
697,Puffed Rice Recipe | Murmura Recipe,Snacks Recipes,Easy,5 mins
698,Ragi Kheer | Ragi Pudding,Sweets Recipes,Moderate,20 mins
699,Sabudana Dosa | Sago Dosa,South Indian Food,Moderate,9 hrs 30 mins
700,Narkel Naru (Coconut Ladoo With Jaggery),Ladoo Recipes,Easy,15 mins
701,top 10 north indian breakfast recipes,Breakfast Recipes,,
702,Moong Dal Chilla (Indian Mung Bean Pancake),Breakfast Recipes,Moderate,4 hrs 30 mins
703,Atta Laddu | Wheat Ladoo,Ladoo Recipes,Moderate,15 mins
704,Leftover Rice Idli | Cooked Rice Idli,Breakfast Recipes,Moderate,9 hrs 12 mins
705,Fruit Bread Recipe | Fruit Bun,Bread Recipes,Moderate,3 hrs 45 mins
706,Paneer Kulcha Recipe,Indian Breads,Moderate,3 hrs
707,Penne Pasta Recipe (In Tomato Mushroom Sauce),Pasta Recipes,Moderate,1 hr 5 mins
708,Carrot Ginger Soup Recipe,Soup Recipes,Easy,30 mins
709,Sundal Recipe | Channa Sundal | Chickpea Sundal,Chickpeas Recipes,Moderate,35 mins
710,Wheat Momos (Atta Momos),Street Food Recipes,Moderate,50 mins
711,Capsicum besan bhaji | shimla mirch besan,Capsicum Recipes,Moderate,30 mins
712,Lemon Pickle | No Oil Lime Pickle (4 Ingredients),Pickle Recipes,Easy,15 mins
713,Bhindi Rice | Sauteed okra with rice,Okra Recipes,Moderate,50 mins
714,Naranga Achar | Kerala Lemon Pickle | Lime Pickle,Pickle Recipes,Moderate,25 mins
715,Paneer Pizza | Paneer Cheese Pizza,Paneer Recipes,Moderate,1 hr 40 mins
716,Spring Onion Soup | Green Onion Soup | Scallion Soup,Soup Recipes,Easy,25 mins
717,Corn Chaat Recipe | Sweet Corn Chaat,Snacks Recipes,Moderate,20 mins
718,Ragi Halwa | Nachni Halwa,Halwa,Moderate,20 mins
719,Coconut Cookies Recipe,Cookies,Easy,30 mins
720,Banana Halwa | Banana Sheera,Halwa,Moderate,20 mins
721,Cutting Chai,Beverages,Easy,17 mins
722,Date Cake | Date And Walnut Cake,Cake Recipes,Moderate,1 hr
723,Corn Recipes | Collection of 21 tasty Sweet Corn Recipes,DIY & Collections,,
724,Paneer Kolhapuri,Curry Recipes,Moderate,50 mins
725,Mushroom Paneer,Curry Recipes,Moderate,45 mins
726,Methi Puri | Crispy Methi ki Poori,Snacks Recipes,Moderate,50 mins
727,"Easy Banana Cake Recipe (Eggless, Whole Wheat)",Cake Recipes,Moderate,40 mins
728,Cabbage Rice | Indian Style Cabbage Fried Rice,Cabbage Recipes,Moderate,1 hr
729,Carrot Chutney,Chutney Recipes,Easy,15 mins
730,Mushroom Tikka Masala,Mushroom Recipes,Moderate,1 hr 30 mins
731,Chana Dal Pakora,Pakora Recipes,Moderate,4 hrs 30 mins
732,Paneer Ghee Roast,Paneer Recipes,Moderate,30 mins
733,Tomato Upma,Breakfast Recipes,Moderate,30 mins
734,Grape Juice Recipe,Juices,Easy,15 mins
735,Crispy Paneer 65 Recipe,Paneer Recipes,Moderate,55 mins
736,Samvat Rice Khichdi | Sama Chawal Khichdi | Vrat ki Khichdi,Navratri & Fasting Recipes,,1 hr 35 mins
737,Sabudana Recipes for fast | sabudana vrat recipes,Navratri & Fasting Recipes,,
738,Aloo 65 | Potato 65,Snacks Recipes,Moderate,45 mins
739,Kolkata Biryani,Rice Recipes,Moderate,1 hr 15 mins
740,Kerala Sambar,Kerala Recipes,Moderate,1 hr 5 mins
741,Baby Corn Rice | Baby Corn Pulao,Rice Recipes,Easy,45 mins
742,Tomato Carrot Soup,Soup Recipes,Moderate,20 mins
743,Kuttu Khichdi | Buckwheat Khichdi,Navratri & Fasting Recipes,Moderate,30 mins
744,Methi Pakoda | Methi Bhajiya | Methi Pakora,Pakora Recipes,Easy,30 mins
745,Singapore Fried Rice,Rice Recipes,Moderate,35 mins
746,Lemon Rasam,South Indian Food,Moderate,30 mins
747,Cheese Corn Balls,Snacks Recipes,Moderate,40 mins
748,Oats Khichdi,Breakfast Recipes,Moderate,20 mins
749,Beetroot Poori,Indian Breads,Moderate,1 hr 5 mins
750,Sabudana Pakoda | Sabudana Pakora,Navratri & Fasting Recipes,Moderate,8 hrs 20 mins
751,40 Coconut Recipes | Coconut Sweets Recipes,DIY & Collections,,
752,Mogri Ki Sabji | Radish Pods Recipe,Vegetable Recipes,Moderate,40 mins
753,Paneer Tikka Recipe,Snacks Recipes,Moderate,2 hrs 30 mins
754,Khichdi Recipe | Easy Moong Dal Khichdi Recipe (3 Ways),Dal (Lentils) & Legumes,Moderate,40 mins
755,Sabudana Vada Recipe | How to make Sabudana Vada,Navratri & Fasting Recipes,Moderate,5 hrs 30 mins
756,Onion Pakoda Recipe (2 Ways) | Onion Pakora | Onion Fritters,Pakora Recipes,Moderate,30 mins
757,Pudina Chutney | Easy Mint Chutney (2 Ways),Chutney Recipes,Easy,15 mins
758,Schezwan Paneer,Curry Recipes,Moderate,20 mins
759,Tomato Rice Recipe | Quick South Indian Thakkali Sadam,Rice Recipes,Easy,40 mins
760,Paneer Lababdar,Paneer Recipes,Moderate,40 mins
761,Sambar Recipe | How to make South Indian Sambar,South Indian Food,Moderate,45 mins
762,Dal Fry Recipe | How to make Dal Fry (3 Ways),Dal (Lentils) & Legumes,Moderate,25 mins
763,Bread Pakora (2 Ways) | Stuffed & Plain Bread Pakoda,Bread Snacks,Moderate,1 hr 5 mins
764,French Fries Recipe (Crispy & Perfect),Snacks Recipes,Moderate,30 mins
765,Masala Pav,Street Food Recipes,Moderate,30 mins
766,Paneer Tikka Pizza,World Recipes,Moderate,2 hrs 40 mins
767,Kaju Pulao | Cashew Pulao,Rice Recipes,Moderate,40 mins
768,Pav Bhaji Masala (Spice Mix),Spice Mix,Easy,15 mins
769,Pineapple Fried Rice (Thai Style),Rice Recipes,Moderate,40 mins
770,Banana Mousse Recipe,Dessert Recipes,Easy,15 mins
771,baby corn recipes | collection of 10 veg baby corn recipes,Vegetable Recipes,,
772,Capsicum Sandwich | Bell Pepper Sandwich,Snacks Recipes,Easy,25 mins
773,Basmati Rice Recipe | How To Cook Basmati Rice,Rice Recipes,Easy,45 mins
774,Eggless Pancakes Recipe | Whole Wheat Pancakes,Breakfast Recipes,Easy,15 mins
775,Pumpkin Recipes | Collection of 12 Vegetarian Pumpkin Recipes,Vegetable Recipes,,
776,French Toast (Without Eggs),Bread Snacks,Easy,15 mins
777,Guava Juice Recipe | How to make Guava Juice,Juices,Moderate,15 mins
778,Cheese Recipes | Collection of 25 Veg Cheese Recipes,DIY & Collections,,
779,Jaggery Recipes | Collection of 26 Delicious Gur ki recipes,DIY & Collections,,
780,Momos Chutney Recipe | Momo Sauce,Chutney Recipes,Moderate,10 mins
781,Baby Corn Fry (Baby Corn Pepper Fry),Vegetable Recipes,Easy,20 mins
782,Ekadashi Recipes | 11 Ekadasi Fasting Recipes | Ekadashi Vrat Recipes,Navratri & Fasting Recipes,,
783,Blueberry Pancakes (Easy & Healthy),American Recipes,Easy,20 mins
784,Masala Idli | Leftover Idli Recipes,Snacks Recipes,Easy,15 mins
785,Mango Salsa Recipe,Mexican Recipes,Easy,15 mins
786,Rajma Recipe | Rajma Masala | Rajma Chawal,Dal (Lentils) & Legumes,Easy,9 hrs 45 mins
787,Mango Rice Recipe (Mavinakayi Chitranna),Rice Recipes,Moderate,40 mins
788,Rajma Kebab,Snacks Recipes,Moderate,45 mins
789,Amchur Powder | Amchoor (Dry Mango Powder),Spice Mix,Moderate,21 hrs 15 mins
790,Mango Muffins Recipe,Dessert Recipes,Moderate,50 mins
791,Medu Vada Recipe | Sambar Vada (Uzhunnu Vada),Breakfast Recipes,Moderate,4 hrs 40 mins
792,Mushroom Sandwich Recipe,Mushroom Recipes,Easy,25 mins
793,Mango Recipes | 37 Raw and Ripe Mango Recipes,DIY & Collections,,
794,Mango Kesari | Mango Sheera | Mango Halwa,Sweets Recipes,Moderate,25 mins
795,Raw Mango Chutney | Green Mango Chutney,Chutney Recipes,Easy,15 mins
796,Amla ka Achar | Amla Pickle (Indian Gooseberry Pickle),Pickle Recipes,Moderate,30 mins
797,Vanilla Milkshake Recipe (Cafe Style),Milkshake Recipes,Easy,10 mins
798,Chunda Recipe | Aam Chunda | Mango Chunda,Condiments,Moderate,25 mins
799,Mango Salad Recipe (With Unripe Green Mangoes),Salad Recipes,Easy,15 mins
800,Mango Chaat | Mango Bhel,Snacks Recipes,Easy,15 mins
801,Mamidikaya Pappu (Mango Dal),Dal (Lentils) & Legumes,Moderate,40 mins
802,Aam Ka Murabba | Mango Murabba (Indian Mango Preserve),Condiments,Moderate,25 mins
803,Mango Modak (Amba Modak),Sweets Recipes,Moderate,30 mins
804,Mango Falooda,Beverages,Moderate,25 mins
805,Mango Phirni,Sweets Recipes,Moderate,50 mins
806,Caesar Salad Recipe,Salad Recipes,Moderate,25 mins
807,"Ice Cream Recipe – No Churn, No Ice Cream Maker",Dessert Recipes,Easy,15 mins
808,Muthiya Recipe | Methi Muthia (Steamed and Fried),Snacks Recipes,Moderate,50 mins
809,Sour Cream Coffee Cake Recipe,Cake Recipes,Moderate,1 hr 5 mins
810,Fruit Salad Recipe,Salad Recipes,Easy,15 mins
811,Avakaya | Avakai (Andhra Mango Pickle),Pickle Recipes,Moderate,30 mins
812,Virgin Mojito Recipe | Mojito Mocktail,Beverages,Easy,15 mins
813,Mango Juice Recipe,Beverages,Easy,10 mins
814,Fruit Salad With Ice Cream,Salad Recipes,Easy,15 mins
815,Apple Smoothie Recipe,Smoothie,Easy,5 mins
816,Paniyaram (Kuzhi Paniyaram Recipe),South Indian Food,Moderate,35 mins
817,Amritsari Chole,Chickpeas Recipes,Moderate,8 hrs 45 mins
818,Sweet Paniyaram,Snacks Recipes,Easy,30 mins
819,Mango Mastani,Beverages,Easy,15 mins
820,Fig Jam Recipe,Condiments,Moderate,50 mins
821,Watermelon Agua Fresca | Refreshing Mexican Drink,Juices,Easy,15 mins
822,Dahi Kabab | Dahi ke Kabab (Yogurt Kebab),Snacks Recipes,Moderate,8 hrs 15 mins
823,Turmeric Pickle (Haldi Ka Achar),Pickle Recipes,Easy,15 mins
824,Butterscotch Ice Cream | Praline Ice Cream,Dessert Recipes,Moderate,8 hrs 25 mins
825,Sweet Mango Pickle (Aam ka Meetha Achar),Pickle Recipes,Easy,3 d 15 mins
826,Mango Tea (Mango Iced Tea),Beverages,Easy,15 mins
827,Star Gooseberry Pickle,Pickle Recipes,Moderate,20 mins
828,Praline Recipe,Dessert Recipes,Moderate,15 mins
829,Pineapple Smoothie (Healthy 3 Ingredient Recipe),Smoothie,Easy,10 mins
830,Aam Panna Recipe – With Boiled and Roasted Mangoes,Beverages,Moderate,20 mins
831,Mint Juice (Pudina Juice),Juices,Easy,10 mins
832,Tutti Frutti Ice Cream,Dessert Recipes,Easy,15 mins
833,Red Chili Pickle (Lal Mirch Ka Achar),Pickle Recipes,Easy,20 mins
834,Mango Ice Cream (2 Easy Variations),Dessert Recipes,Easy,30 mins
835,Paneer Manchurian (2 Ways),Indo Chinese Recipes,Moderate,30 mins
836,Blueberry Juice,Juices,Easy,20 mins
837,Moong Dal Recipe | Moong Dal Fry and Tadka,Dal (Lentils) & Legumes,Moderate,35 mins
838,Strawberry Ice Cream,Dessert Recipes,Moderate,15 mins
839,Coconut Ladoo | Nariyal ke Laddu,Ladoo Recipes,Moderate,15 mins
840,Chocolate Chip Ice Cream,Dessert Recipes,Easy,10 mins
841,Carrot Juice Recipe | Juicing Carrots in Blender and Juicer,Juices,Easy,10 mins
842,Paneer Roll Recipe | Paneer Kathi Roll | Paneer Wrap,Street Food Recipes,Moderate,55 mins
843,Beetroot Halwa,Halwa,Moderate,1 hr 15 mins
844,Aloo Paneer Recipe,Curry Recipes,Moderate,40 mins
845,Bottle Gourd Curry (Lauki Curry),Curry Recipes,Moderate,20 mins
846,Mint Tea (Pudina Tea),Beverages,Easy,11 mins
847,Mango Pickle | Punjabi Aam ka Achar Recipe,Pickle Recipes,Moderate,4 d 15 mins
848,Kashmiri Biryani (With Vegetables),Kashmiri Recipes,Moderate,1 hr 10 mins
849,Mushroom Fry (Goan Style),Mushroom Recipes,Easy,30 mins
850,Baby Corn Jalfrezi,Vegetable Recipes,Moderate,30 mins
851,Chocolate Ice Cream Recipe,Dessert Recipes,Easy,10 mins
852,Fig Smoothie | Banana Fig Smoothie,Smoothie,Easy,10 mins
853,Muhammara Recipe (Roasted Red Pepper Dip),Condiments,Moderate,20 mins
854,Trifle Recipe | Trifle Pudding | Fruit Trifle,Dessert Recipes,Easy,30 mins
855,Applesauce Cake Recipe,Cake Recipes,Easy,50 mins
856,Pull Apart Garlic Bread | Garlic Rolls,Bread Recipes,Moderate,3 hrs 35 mins
857,Udupi Sambar Recipe,South Indian Food,Moderate,50 mins
858,Herbal Tea | Herbal Chai,Beverages,Easy,20 mins
859,Lemon Squash | Lemon Syrup (Without Preservatives),Beverages,Moderate,25 mins
860,Cabbage Vada (Cabbage Vadai),Snacks Recipes,Moderate,5 hrs 35 mins
861,Sesame Chutney | Til Chutney (With Coconut),Chutney Recipes,Moderate,15 mins
862,Coffee Milkshake (With Ice Cream),Milkshake Recipes,Easy,15 mins
863,Mushroom Peas Curry (Batani Curry),Curry Recipes,Moderate,45 mins
864,Orange Muffins Recipe,Dessert Recipes,Moderate,40 mins
865,Pomegranate Smoothie Recipe,Smoothie,Easy,10 mins
866,Karela Fry | Bitter Gourd Fry | Kakarakaya Fry,Vegetable Recipes,Moderate,25 mins
867,Rooh Afza Sharbat | Rooh Afza Drink (Ruabja Sharbat),Beverages,Easy,30 mins
868,Iftar Recipes | Ramadan Recipes | 180 Iftar Food Recipes,DIY & Collections,,
869,Biryani Rice Recipe,Rice Recipes,Moderate,35 mins
870,"Sheer Khurma Recipe (Vermicelli, Milk and Dates Pudding)",Sweets Recipes,Moderate,30 mins
871,Aloo Gobi Matar,Curry Recipes,Moderate,45 mins
872,Onion Raita | Tomato Raita | Onion Tomato Raita,Raita Recipes,Easy,10 mins
873,Litchi Juice (Lychee Juice),Beverages,Easy,15 mins
874,Kulfi Recipe,Dessert Recipes,Moderate,35 mins
875,Mango Panna Cotta,Dessert Recipes,Moderate,30 mins
876,Idli Chaat,Snacks Recipes,Moderate,20 mins
877,Baked Cauliflower Recipe,Cauliflower Recipes,Moderate,45 mins
878,Pistachio Ice Cream (Pista Ice Cream),Dessert Recipes,Easy,20 mins
879,Mango Pudding,Dessert Recipes,Moderate,15 mins
880,Dal Bukhara Recipe,Dal (Lentils) & Legumes,Moderate,10 hrs
881,Masala Rice,Rice Recipes,Moderate,20 mins
882,Pineapple Raita,Raita Recipes,Easy,15 mins
883,Sprouts Salad | Healthy Sprouted Moong Salad,Salad Recipes,Moderate,20 mins
884,Mango Chutney Recipe,Chutney Recipes,Moderate,20 mins
885,Mango Shrikhand (Amrakhand),Sweets Recipes,Moderate,4 hrs 15 mins
886,Pineapple Rasam,South Indian Food,Moderate,45 mins
887,Red Chilli Chutney,Chutney Recipes,Moderate,15 mins
888,Veg Keema Recipe,Vegetable Recipes,Moderate,30 mins
889,Cabbage Thoran | Cabbage Fry,Cabbage Recipes,Moderate,30 mins
890,Kala Chana Chaat,Chickpeas Recipes,Easy,30 mins
891,Pickled Onions (Vinegar Onion),Condiments,Easy,15 mins
892,Mango Cheesecake (No Bake),Cake Recipes,Moderate,47 mins
893,Arachuvitta Sambar,Tamil Nadu Food,Moderate,1 hr 15 mins
894,Oats Smoothie | Oatmeal Smoothie,Smoothie,Easy,15 mins
895,Mahashivratri Vrat | 51 Fasting Recipes For Mahashivratri,Navratri & Fasting Recipes,,
896,Coconut Milk Rice (Coconut Milk Pulao),Rice Recipes,Moderate,40 mins
897,Aloo Kulcha,Indian Breads,Moderate,3 hrs 10 mins
898,Cholar Dal Recipe,Bengali Recipes,Moderate,1 hr
899,Methi Mushroom – Mushroom and Fenugreek (Methi) Curry,Mushroom Recipes,Moderate,1 hr 10 mins
900,Paneer Korma (Paneer Kurma),Paneer Recipes,Moderate,1 hr 20 mins
901,Maa ki Dal | Kali Dal | Black Gram Dal,Dal (Lentils) & Legumes,Moderate,1 hr
902,Aloo Chana Chaat,Street Food Recipes,Moderate,30 mins
903,Solkadhi Recipe | Solkadi (Kokum Curry),Goan Recipes,Easy,40 mins
904,Rajma Pulao | Kidney Beans Pilaf,Rice Recipes,Moderate,9 hrs 35 mins
905,Roasted Tomato Soup,Soup Recipes,Moderate,35 mins
906,Rajma Sundal,Dal (Lentils) & Legumes,Moderate,8 hrs 35 mins
907,Instant Pot Dal Makhani,Instant Pot,Moderate,1 hr
908,Paneer Kheer,Sweets Recipes,Easy,25 mins
909,Paruppu Rasam,South Indian Food,Moderate,30 mins
910,Methi Matar Malai | Creamy Methi Malai Matar,Curry Recipes,Moderate,30 mins
911,Instant Pot Pulao,Instant Pot,Moderate,25 mins
912,Patta Gobhi Recipe | Patta Gobhi ki Sabji,Cabbage Recipes,Moderate,50 mins
913,Amritsari Dal | Langarwali Dal,Dal (Lentils) & Legumes,Moderate,4 hrs 55 mins
914,Muskmelon Juice (Cantaloupe Juice),Juices,Easy,15 mins
915,Palak Biryani | Spinach Biryani,Palak Recipes (Spinach Recipes),Moderate,50 mins
916,Potato Rice | Potato Pulao,Rice Recipes,Moderate,42 mins
917,Paneer Khurchan,Paneer Recipes,Moderate,30 mins
918,Kuttu ka Paratha | Vrat ka Paratha | Kuttu ki Roti,Navratri & Fasting Recipes,Moderate,40 mins
919,Strawberry Jam Recipe (Without Pectin),Condiments,Moderate,1 hr
920,Maa Chole Ki Dal (Curried Mixed Lentils),Dal (Lentils) & Legumes,Moderate,50 mins
921,Bengali Khichdi | Khichuri Recipe,Bengali Recipes,Moderate,45 mins
922,Methi Malai Paneer,Paneer Recipes,Moderate,50 mins
923,pudina pachadi | pudina coconut chutney,Chutney Recipes,Moderate,20 mins
924,Tomato Cucumber Sandwich,Bread Snacks,Easy,15 mins
925,Capsicum Rice | Bell Pepper Rice | Capsicum Pulao,Rice Recipes,Easy,35 mins
926,Tomato Sambar (Thakkali Sambar),Tamil Nadu Food,Moderate,40 mins
927,Cabbage Paratha (Stuffed Cabbage Flatbread),Cabbage Recipes,Moderate,50 mins
928,Eggless Vanilla Cake Recipe (Soft and Moist),Cake Recipes,Easy,50 mins
929,Puri For Pani Puri | Suji Ke Golgappe,Street Food Recipes,Moderate,1 hr 15 mins
930,Strawberry Cake Recipe,Cake Recipes,Moderate,1 hr 30 mins
931,Donut Recipe | Chocolate Donut | Eggless Donut,Bread Recipes,Moderate,1 hr 40 mins
932,Palak Chole | Spinach with Chickpeas,Chickpeas Recipes,Moderate,8 hrs 45 mins
933,Fruit Cream Recipe (Cream Fruit Salad),Dessert Recipes,Easy,15 mins
934,Garam Masala Recipe | Homemade Garam Masala Powder,Spice Mix,Easy,15 mins
935,Tandoori Roti (Butter Roti) – 2 Ways,Indian Breads,Moderate,1 hr 10 mins
936,Eggless Fruit Cake | Christmas Cake Recipe,Cake Recipes,Moderate,1 d 1 hr 15 mins
937,"Plum Cake Recipe (No Eggs, No Alcohol, Whole Wheat)",Cake Recipes,Moderate,1 d 1 hr 30 mins
938,Mooli Thepla,Indian Breads,Easy,50 mins
939,Coriander Powder | Ground Coriander (Dhaniya Powder),Spice Mix,Easy,15 mins
940,Quinoa Upma,Breakfast Recipes,Moderate,30 mins
941,Makki Ki Roti (Maize Flour Flatbread),Indian Breads,Moderate,40 mins
942,Kadai Paneer Recipe in 30 Minutes,Paneer Recipes,Moderate,30 mins
943,Chimichanga Recipe,Mexican Recipes,Moderate,50 mins
944,Hot Chocolate Recipe,Beverages,Easy,15 mins
945,Biscuit Cake | Chocolate Biscuit Cake,Cake Recipes,Easy,20 mins
946,Mushroom Soup | Cream of Mushroom Soup,Soup Recipes,Moderate,30 mins
947,Tomato Omelette Recipe,Breakfast Recipes,Moderate,30 mins
948,Fruit Custard | Easy Healthy  Fruit Custard Recipe,Dessert Recipes,Easy,30 mins
949,Chilli Mushroom (Stovetop & Instant Pot),Indo Chinese Recipes,Moderate,40 mins
950,Burrito Recipe,Mexican Recipes,Moderate,40 mins
951,Akki Roti (2 Ways) | Akki Rotti | Rice Roti,Indian Breads,Moderate,45 mins
952,Fettuccine Alfredo Recipe (Alfredo Pasta),Pasta Recipes,Moderate,30 mins
953,Pound Cake,Cake Recipes,Easy,1 hr
954,Cooker Cake (Eggless),Cake Recipes,Moderate,1 hr
955,Banana Muffins,Dessert Recipes,Easy,45 mins
956,Butter Cookies,Cookies,Moderate,1 hr 5 mins
957,Jalebi Recipe | Best Homemade Jalebi Recipe,Sweets Recipes,Moderate,15 hrs 45 mins
958,Sandesh Recipe,Bengali Recipes,Moderate,55 mins
959,Rasgulla Recipe | How to make Soft Rasgulla,Sweets Recipes,Moderate,40 mins
960,Peda Recipe | Doodh Peda | Milk Peda,Sweets Recipes,Moderate,15 mins
961,Club Sandwich,Snacks Recipes,Moderate,40 mins
962,Rabdi Recipe | Rabri – Sweet Thickened Milk,Sweets Recipes,Moderate,1 hr 20 mins
963,Chole Paneer | Cottage Cheese with Chickpeas,Chickpeas Recipes,Moderate,8 hrs 30 mins
964,Boondi Laddu | Boondi ke Ladoo,Ladoo Recipes,Difficult,35 mins
965,Sambar Powder | Homemade Sambar Masala (Sambar Podi),Spice Mix,Moderate,30 mins
966,Besan ka Halwa,Halwa,Moderate,30 mins
967,Ambur Biryani (with mushrooms),Rice Recipes,Moderate,1 hr
968,Matar Makhana Curry,Curry Recipes,Moderate,55 mins
969,Aloo Raita | Potato Raita,Raita Recipes,Easy,20 mins
970,Masala Raita,Raita Recipes,Easy,5 mins
971,Basundi Recipe,Sweets Recipes,Easy,25 mins
972,Boondi Raita,Raita Recipes,Easy,20 mins
973,Kaju Curry | Kaju Masala,Curry Recipes,Moderate,1 hr
974,Shami Kabab | Veg Shami Kebab,Snacks Recipes,Moderate,7 hrs 30 mins
975,Gujarati Kadhi | How to make Gujarati Kadhi,Gujarati Recipes,Moderate,20 mins
976,Hotel Style Onion Rava Dosa,Breakfast Recipes,Easy,45 mins
977,Pudina Paratha | Mint Flatbreads,Indian Breads,Moderate,1 hr 5 mins
978,Paneer Curry Recipe,Paneer Recipes,Moderate,45 mins
979,Broccoli Paratha | Broccoli Flatbreads,Indian Breads,Easy,1 hr
980,Baingan ki Sabji | Aloo Baingan ki Sabji,Brinjal Recipes,Easy,45 mins
981,Chana Dal Khichdi,Rice Recipes,Moderate,50 mins
982,Chikoo Milkshake | Sapota Shake,Milkshake Recipes,Easy,10 mins
983,Tomato Pappu | Tomato Dal,Dal (Lentils) & Legumes,Moderate,30 mins
984,Shahi Tukda | Shahi Tukra (Mughlai Dessert),Sweets Recipes,Moderate,1 hr 30 mins
985,Neer Dosa | Neer Dose (Soft Rice Crepes),Breakfast Recipes,Moderate,5 hrs 30 mins
986,Aloo Chole ki sabji | Chickpea and Potato Curry,Chickpeas Recipes,Easy,9 hrs 45 mins
987,Lauki ka Paratha | Bottle Gourd Flatbread,Indian Breads,Moderate,45 mins
988,Khaman Dhokla Recipe | Khaman Recipe,Gujarati Recipes,Easy,20 mins
989,Tomato Sabji | Tomato Bhaji,Vegetable Recipes,Easy,30 mins
990,Cheese Biscuits | Cheddar Biscuits,Cookies,Easy,45 mins
991,Green Pulao | Chutney Pulao,Rice Recipes,Moderate,45 mins
992,Carrot Paratha | Gajar ka Paratha,Indian Breads,Easy,30 mins
993,Banana Smoothie,Smoothie,Easy,10 mins
994,Rajgira Paratha | Amaranth Roti,Navratri & Fasting Recipes,Moderate,40 mins
995,Sabudana Thalipeeth | Sabudana Roti,Navratri & Fasting Recipes,Moderate,8 hrs 30 mins
996,Lemon Muffins (Eggless & Whole Wheat),Dessert Recipes,Easy,40 mins
997,Yakhni Pulao,Rice Recipes,Moderate,45 mins
998,Beetroot Raita,Raita Recipes,Easy,20 mins
999,Bread Roll,Bread Snacks,Moderate,50 mins
1000,Chana Biryani | Chickpea Biryani,Chickpeas Recipes,Moderate,1 hr 15 mins
1001,Gobi Manchurian (Dry and Gravy),Indo Chinese Recipes,Moderate,1 hr
1002,Aloo Palak (Spinach Curry with Potatoes),Palak Recipes (Spinach Recipes),Moderate,45 mins
1003,Tomato Biryani,South Indian Food,Moderate,50 mins
1004,Paneer Makhanwala,Paneer Recipes,Moderate,45 mins
1005,Punjabi Poora Recipe | Sweet Pooda,Punjabi Recipes,Moderate,30 mins
1006,Spring Rolls | Crispy Veg Spring Roll Recipe,World Recipes,Moderate,45 mins
1007,Mathri Recipe (Mathiya or Mathari),Evening Snacks,Moderate,1 hr 10 mins
1008,Chocolate Pudding Recipe,Dessert Recipes,Easy,15 mins
1009,Masaledar Poori | Masala Poori,Indian Breads,Moderate,1 hr 5 mins
1010,Papdi Chaat Recipe | Papri Chaat (Street Style),Snacks Recipes,Moderate,9 hrs 20 mins
1011,Corn Pulao | Corn Rice,Rice Recipes,Moderate,35 mins
1012,Masala Paratha,Indian Breads,Moderate,1 hr
1013,Bombay Biryani | Mumbai Biryani,Rice Recipes,Moderate,1 hr 30 mins
1014,Kadala Curry | Kadala Kari,Chickpeas Recipes,Moderate,8 hrs 55 mins
1015,Matar Paratha | Green Peas Flatbread,Peas Recipes,Moderate,1 hr
1016,Tomato Pulao | Tomato Pilaf,Rice Recipes,Moderate,50 mins
1017,Palak Mushroom,Palak Recipes (Spinach Recipes),Moderate,45 mins
1018,Chow Mein | Veg Chowmein Recipe,Indo Chinese Recipes,Moderate,50 mins
1019,Soya Chunks Fry | Meal Maker Fry,Curry Recipes,Moderate,40 mins
1020,Mawa Cake (Eggless & Whole Wheat),Cake Recipes,Moderate,1 hr 5 mins
1021,Paneer Pulao | One Pot Easy Paneer Rice,Paneer Recipes,Moderate,50 mins
1022,Chilli Garlic Noodles | Asian Garlic Noodles,World Recipes,Easy,25 mins
1023,Ragi Recipes | Ragi Benefits,DIY & Collections,,
1024,Khada Pav Bhaji,Street Food Recipes,Moderate,1 hr
1025,Palak Khichdi (Spinach Khichdi),Rice Recipes,Moderate,40 mins
1026,Pizza Sandwich,Bread Snacks,Easy,25 mins
1027,Masala Chai | Indian Masala Tea,Beverages,Easy,10 mins
1028,Paneer Jalfrezi Recipe,Paneer Recipes,Moderate,40 mins
1029,Malpua Recipe (Quick Version),Sweets Recipes,Moderate,1 hr
1030,Tutti Frutti Cake,Cake Recipes,Easy,50 mins
1031,Appam (Rice & Coconut Hoppers),Kerala Recipes,Moderate,5 hrs 45 mins
1032,Broccoli Stir Fry,Vegetable Recipes,Easy,25 mins
